Servicio Meteorológico Nacional
Red: SMN
Estación: ZACATECAS_EMA
Estado: Zacatecas
Municipio: Guadalupe
Latitud (N): 22.74667
Longitud (O): -102.5061111
Altitud: 2270

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2023-01-09 15:20:00,2023-01-09 21:20:00,218.0,272.0,3.4,22.3,20.9,15,779.7,0,621,
2023-01-09 15:10:00,2023-01-09 21:10:00,239.0,225.0,7.8,22.3,20.8,15,779.9,0,652,
2023-01-09 15:00:00,2023-01-09 21:00:00,245.0,271.0,7.6,20.6,20.8,14,779.9,0,677,
2023-01-09 14:50:00,2023-01-09 20:50:00,217.0,258.0,4.2,28.1,20.8,15,780,0,698,
2023-01-09 14:40:00,2023-01-09 20:40:00,232.0,208.0,0,0,20.8,15,780.1,0,717,
2023-01-09 14:30:00,2023-01-09 20:30:00,244.0,208.0,5.9,25.2,20.7,15,780.2,0,741,
2023-01-09 14:20:00,2023-01-09 20:20:00,235.0,233.0,7,23.5,20.6,15,780.3,0,761,
2023-01-09 14:10:00,2023-01-09 20:10:00,250.0,234.0,5.8,24.6,20.4,14,780.4,0,773,
2023-01-09 14:00:00,2023-01-09 20:00:00,230.0,260.0,10.7,22.9,20.4,16,780.6,0,780,
2023-01-09 13:50:00,2023-01-09 19:50:00,216.0,203.0,12.2,28.7,20.2,16,780.7,0,797,
2023-01-09 13:40:00,2023-01-09 19:40:00,258.0,259.0,8.8,19.5,20,18,780.9,0,803,
2023-01-09 13:30:00,2023-01-09 19:30:00,223.0,215.0,15.8,27.5,19.9,19,781,0,808,
2023-01-09 13:20:00,2023-01-09 19:20:00,226.0,237.0,9.2,25.8,20.2,20,781.2,0,811,
2023-01-09 13:10:00,2023-01-09 19:10:00,233.0,220.0,12.5,23.5,19.6,21,781.3,0,802,
2023-01-09 13:00:00,2023-01-09 19:00:00,245.0,251.0,12,23.5,19.3,23,781.5,0,803,
2023-01-09 12:50:00,2023-01-09 18:50:00,239.0,219.0,16.9,27.5,19.3,23,781.7,0,812,
2023-01-09 12:40:00,2023-01-09 18:40:00,236.0,247.0,7.1,20,19.4,23,781.8,0,798,
2023-01-09 12:30:00,2023-01-09 18:30:00,218.0,250.0,6.9,18.3,19.1,24,782,0,789,
2023-01-09 12:20:00,2023-01-09 18:20:00,231.0,249.0,5.7,21.2,19,25,782.2,0,782,
2023-01-09 12:10:00,2023-01-09 18:10:00,213.0,204.0,11.4,21.8,18.6,26,782.4,0,769,
2023-01-09 12:00:00,2023-01-09 18:00:00,233.0,224.0,7.9,22.3,18.4,27,782.5,0,750,
2023-01-09 11:50:00,2023-01-09 17:50:00,243.0,240.0,5.4,18.3,18.2,27,782.6,0,731,
2023-01-09 11:40:00,2023-01-09 17:40:00,241.0,256.0,2.8,16.6,18.5,26,782.7,0,707,
2023-01-09 11:30:00,2023-01-09 17:30:00,235.0,234.0,0,0,18.2,26,782.8,0,701,
2023-01-09 11:20:00,2023-01-09 17:20:00,244.0,234.0,0,0,18.4,26,782.8,0,673,
2023-01-09 11:10:00,2023-01-09 17:10:00,265.0,234.0,1.6,2.8,18.6,25,782.9,0,649,
2023-01-09 11:00:00,2023-01-09 17:00:00,294.0,310.0,1.6,0,18.5,25,783,0,629,
2023-01-09 10:50:00,2023-01-09 16:50:00,293.0,310.0,1.7,4.5,18.3,25,783,0,606,
2023-01-09 10:40:00,2023-01-09 16:40:00,282.0,141.0,0,0,17.6,26,783.1,0,582,
2023-01-09 10:30:00,2023-01-09 16:30:00,291.0,141.0,0,0,17,27,783.1,0,553,
2023-01-09 10:20:00,2023-01-09 16:20:00,284.0,141.0,0,0,16.5,28,783.1,0,520,
2023-01-09 10:10:00,2023-01-09 16:10:00,300.0,141.0,0,0,16.2,28,783.1,0,484,
2023-01-09 10:00:00,2023-01-09 16:00:00,222.0,141.0,0,0,15.6,31,783.1,0,452,
2023-01-09 09:50:00,2023-01-09 15:50:00,205.0,141.0,0,0,14.8,33,783.1,0,417,
2023-01-09 09:40:00,2023-01-09 15:40:00,187.0,141.0,0,0,13.9,37,783,0,384,
2023-01-09 09:30:00,2023-01-09 15:30:00,209.0,141.0,0,0,12.9,41,783,0,349,
