TBS,HR,PVS,PV,WS,W,MU,VEH,TPR,H,TBH
5.4,0.9,0.8971287993433683,0.8074159194090315,0.007221113463826442,0.006491465603461176,0.898956322453542,1.1023663215507782,3.8835800809757757,21.730827789493336,4.38865968712291
5.5,0.91,0.9033846235157423,0.8220800073993255,0.007272997469487272,0.006611469807452189,0.909043325697497,1.1024453733914712,4.1319148119204385,22.133921354951408,4.577346243829009
5.5,0.9,0.9033846235157423,0.8130461611641682,0.007273938999084916,0.006538897981096144,0.8989486964241461,1.102397569515304,3.9793672037029495,21.951698760428787,4.487161706408067
5.5,0.89,0.9033846235157423,0.8040123149290107,0.007273938999084916,0.006465488315641089,0.8888565489007355,1.1023492067314222,3.8254053623017867,21.76737241267189,4.397390906364716
5.5,0.89,0.9033846235157423,0.8040123149290107,0.007273938999084916,0.006465488315641089,0.8888565489007355,1.1023492067314222,3.8254053623017867,21.76737241267189,4.397390906364716
5.4,0.88,0.8971287993433683,0.7894733434221641,0.007223918038547027,0.0063482002174572155,0.8787752274573221,1.1022719218971222,3.5745785800346113,21.37112465138005,4.210007015581683
5.2,0.86,0.8847318982191277,0.7608694324684497,0.007122951736176137,0.006115932889601389,0.8586233792010287,1.102118820441295,3.0697062753551734,20.584552302994872,3.837946556942409
5.1,0.84,0.8785904190979579,0.7380159520422845,0.007072029251626453,0.005929717052167071,0.8384746218072178,1.1019960232460875,2.654901369423669,20.015408357793568,3.566610456881399
5.0,0.79,0.8724866542640298,0.6892644568685836,0.007023252408692774,0.005535243840833232,0.7881311276784223,1.1017357436777222,1.7332442639780794,18.923600421587434,3.044012400238689
5.0,0.68,0.8724866542640298,0.5932909248995403,0.007023252408692774,0.004758617017669205,0.6775517581824912,1.1012227159394214,-0.25063168930118707,16.974247679775146,2.1473191829924057
5.4,0.61,0.8971287993433683,0.5472485675994546,0.007224853380963572,0.004387285289463946,0.6072490413471641,1.1009771395495487,-1.297678657215009,16.447763378665734,1.9666730207235492
